observation_date,WTISPLC,3-month-ahead,6-month-ahead,9-month-ahead,12-month-ahead
2004-08-01,44.940,43.6511,42.7519,42.5353,42.7265
2004-09-01,45.950,44.5303,43.6356,43.2698,43.3048
2004-10-01,53.130,51.3189,49.9726,49.3508,49.2930
2004-11-01,48.460,47.5687,46.8534,46.7177,46.9899
2004-12-01,43.330,43.2798,43.7926,44.6435,45.6512
2005-01-01,46.840,48.5284,50.9365,52.8597,54.4938
2005-02-01,47.970,50.9432,52.9313,54.3047,55.3729
2005-03-01,54.310,57.1998,58.9858,60.1318,60.9105
2005-04-01,53.040,55.6500,57.5218,58.7701,59.9227
2005-05-01,49.830,53.1361,55.8918,57.9132,59.6058
2005-06-01,56.260,58.6381,60.8673,62.3796,63.6731
2005-07-01,58.700,61.2356,63.2526,64.5638,65.6562
2005-08-01,64.970,66.8204,68.2150,69.0061,69.5954
2005-09-01,65.570,66.2093,67.9890,69.1230,69.9882
2005-10-01,62.370,61.6072,63.8039,65.6572,67.1848
2005-11-01,58.300,59.8556,62.0980,64.0995,65.8729
2005-12-01,59.430,61.6887,63.8501,65.9538,67.8099
2006-01-01,65.510,67.6223,69.0489,70.4128,71.6580
2006-02-01,61.630,64.2830,66.3961,68.2846,70.0528
2006-03-01,62.900,65.9975,67.5684,69.0686,70.4901
2006-04-01,69.690,72.4712,72.8972,73.2843,73.6821
2006-05-01,70.940,72.3278,73.3233,74.0889,74.6682
2006-06-01,70.960,71.6967,72.7953,73.7076,74.3463
2006-07-01,74.410,75.4866,75.9224,76.2479,76.4751
2006-08-01,73.050,74.7533,75.5152,76.2138,76.7520
2006-09-01,63.870,65.5264,67.8902,70.0614,71.9224
2006-10-01,58.880,62.7165,65.0812,67.3327,69.4800
2006-11-01,59.370,63.3286,65.6402,67.8699,70.0083
2006-12-01,62.030,64.5294,66.7080,68.9544,71.0602
2007-01-01,54.570,57.3246,60.5047,63.6369,66.5062
2007-02-01,59.260,61.2497,63.8427,66.3840,68.6818
2007-03-01,60.560,64.3942,66.2947,68.0795,69.7803
2007-04-01,63.970,67.2242,68.5622,69.9789,71.4021
2007-05-01,63.460,66.0194,67.9775,69.9431,71.7593
2007-06-01,67.480,69.3420,70.8645,72.4569,73.9062
2007-07-01,74.180,73.5296,73.7998,74.3203,74.9653
2007-08-01,72.390,70.3984,70.9739,71.9168,72.8330
2007-09-01,79.930,76.2708,76.1422,76.2958,76.3967
2007-10-01,86.200,82.1566,80.7445,79.7034,78.8468
2007-11-01,94.620,88.3758,85.9575,83.9645,82.2372
2007-12-01,91.730,88.2477,86.0452,84.3419,83.0920
2008-01-01,92.950,88.7140,86.6441,85.0828,83.8554
2008-02-01,95.350,92.3877,89.8377,88.0102,86.6125
2008-03-01,105.560,98.4304,94.6089,91.8820,89.7035
2008-04-01,112.570,106.0298,100.7991,96.7474,93.5840
2008-05-01,125.390,118.4602,111.4311,106.1586,102.2093
2008-06-01,133.930,128.8428,119.8193,113.0641,107.9301
2008-07-01,133.440,124.7007,117.0137,111.1983,106.6507
2008-08-01,116.610,110.9784,105.8190,101.9125,98.8301
2008-09-01,103.900,98.9181,96.2521,94.5962,93.5174
2008-10-01,76.650,76.2623,77.2567,78.7986,80.5649
2008-11-01,57.440,58.3760,62.2690,66.5609,71.0423
2008-12-01,41.020,50.7218,54.4939,58.2919,62.5327
2009-01-01,41.740,51.0901,53.7197,56.3020,59.7622
2009-02-01,39.160,48.8454,52.2269,55.7017,59.6503
2009-03-01,47.980,52.7785,56.5398,60.3371,64.1743
2009-04-01,49.790,55.2504,58.5393,62.0903,65.8990
2009-05-01,59.160,62.6264,65.5843,68.5945,71.6027
2009-06-01,69.680,70.7848,72.5158,74.2228,76.1720
2009-07-01,64.090,66.8774,69.2029,71.4818,73.7182
2009-08-01,71.060,72.4327,73.7475,75.4157,77.0484
2009-09-01,69.460,71.3115,73.0234,75.2104,77.0452
2009-10-01,75.820,75.2592,76.2319,77.5686,79.0484
2009-11-01,78.080,77.7577,78.6168,79.6526,81.0448
2009-12-01,74.300,76.0572,76.7784,77.8517,79.4933
2010-01-01,78.220,77.6514,78.5818,79.9142,81.4681
2010-02-01,76.420,76.0072,76.8893,78.1417,79.5124
2010-03-01,81.240,81.0647,80.9794,81.2979,81.7201
2010-04-01,84.480,85.7726,84.5764,83.8903,83.7648
2010-05-01,73.840,76.2251,76.5461,77.0902,78.0339
2010-06-01,75.350,75.8383,76.8418,77.9836,79.4018
2010-07-01,76.370,76.8786,77.8639,79.0725,80.4087
2010-08-01,76.820,76.2125,77.1034,78.1899,79.4367
2010-09-01,75.310,78.0754,78.5612,79.0339,79.8781
2010-10-01,81.900,81.7848,81.6315,81.8615,82.3492
2010-11-01,84.140,83.4922,82.9830,82.9109,83.2193
2010-12-01,89.040,88.1713,86.7700,85.7201,85.0822
2011-01-01,89.420,90.3820,88.8990,87.6653,86.9555
2011-02-01,89.580,93.3483,90.6463,88.6546,87.4954
2011-03-01,102.940,101.5276,97.8583,94.9578,92.4398
2011-04-01,110.040,105.9572,101.3037,97.7149,94.7817
2011-05-01,101.330,96.9688,94.1454,92.0059,90.3754
2011-06-01,96.290,94.5768,92.5011,91.2723,90.6595
2011-07-01,97.190,94.3054,92.5521,91.6860,91.3179
2011-08-01,86.330,84.9141,84.4425,84.7441,85.3171
2011-09-01,85.610,84.3094,83.7036,83.8020,84.1740
2011-10-01,86.410,85.0168,84.0573,83.5897,83.5842
2011-11-01,97.210,94.2898,91.6375,89.4343,87.7765
2011-12-01,98.570,94.6643,92.0099,89.5272,87.7817
2012-01-01,100.240,96.4881,93.8768,91.6341,89.8746
2012-02-01,102.250,99.8385,96.6660,94.1406,92.1321
2012-03-01,106.190,101.7271,98.1642,95.4378,93.0755
2012-04-01,103.330,100.1168,96.7962,94.3308,92.0736
2012-05-01,94.700,90.4121,88.7982,87.7940,86.6584
2012-06-01,82.410,82.5373,82.4583,82.7840,83.0671
2012-07-01,87.930,86.7915,86.2002,85.8012,85.3445
2012-08-01,94.160,92.4750,90.9348,89.4203,87.8886
2012-09-01,94.720,91.9755,90.3451,88.8058,87.1258
2012-10-01,89.570,87.5970,86.7055,86.0164,85.2975
2012-11-01,86.660,85.5504,85.0853,84.7390,84.4340
2012-12-01,88.250,87.2308,86.3926,85.5527,84.8849
2013-01-01,94.690,92.7574,90.5493,88.2653,86.3004
2013-02-01,95.320,92.8292,90.6309,88.3777,86.3577
2013-03-01,93.050,91.3065,88.7734,86.2755,84.3362
2013-04-01,92.070,89.2337,86.8507,84.7016,83.2530
2013-05-01,94.800,91.5345,88.4444,85.8371,83.9718
2013-06-01,95.800,92.8062,89.2496,86.2525,84.1108
2013-07-01,104.610,98.5808,93.1715,89.1044,86.2203
2013-08-01,106.570,99.4852,93.9327,89.5112,86.1407
2013-09-01,106.290,98.9952,93.7613,89.5968,86.3106
2013-10-01,100.540,95.9460,91.8711,88.2290,85.3383
2013-11-01,93.860,91.1576,88.6497,86.1203,83.9683
2013-12-01,97.630,94.3751,90.2933,86.4798,83.5885
2014-01-01,94.620,90.9023,87.5665,84.4342,81.9822
2014-02-01,100.820,95.8108,91.6098,87.9036,84.6106
2014-03-01,100.800,94.9538,90.9691,87.4889,84.3514
2014-04-01,102.070,95.7898,91.5628,87.9042,84.8704
2014-05-01,102.180,96.0833,91.7788,88.1386,85.3117
2014-06-01,105.790,99.0300,94.2116,90.1554,86.8813
2014-07-01,103.590,95.4192,91.9864,89.2387,87.0016
2014-08-01,96.540,90.7723,88.8433,87.3266,86.0475
2014-09-01,93.210,87.7071,86.3678,85.4304,84.6782
2014-10-01,84.400,80.5184,79.9154,79.7484,79.9213
2014-11-01,75.790,73.1670,74.0187,74.9812,76.1056
2014-12-01,59.290,59.6683,62.6194,65.6521,68.9051
2015-01-01,47.220,50.3848,55.0627,59.7554,64.2778
2015-02-01,50.580,55.3655,59.9144,63.6833,67.0874
2015-03-01,47.820,52.3952,56.3553,60.0036,63.5264
2015-04-01,54.450,58.8459,61.2987,63.9934,66.4509
2015-05-01,59.270,60.8206,63.3653,66.0392,68.3373
2015-06-01,59.820,60.8767,63.4797,65.9848,68.2320
2015-07-01,50.900,52.3598,56.4637,60.3363,63.8789
2015-08-01,42.870,47.5222,51.9931,56.4023,60.3466
2015-09-01,45.480,48.1655,52.6010,56.6933,60.3641
2015-10-01,46.220,49.8000,53.7078,57.2129,60.5377
2015-11-01,42.440,46.2566,50.4254,54.1642,58.0470
2015-12-01,37.190,41.3047,45.8090,50.2602,54.8149
2016-01-01,31.680,36.1567,41.2231,45.8195,50.4788
